"datetime","out","in"
"2020-02-01 12:45:00","1.5616297500e+09","4.9630175000e+09"
"2020-02-01 12:50:00","1.6321907500e+09","5.1130385000e+09"
"2020-02-01 12:55:00","1.5299733750e+09","4.7663735000e+09"
"2020-02-01 13:00:00","1.8357567500e+09","5.6535455000e+09"
"2020-02-01 13:05:00","1.7359553750e+09","5.3932385000e+09"
"2020-02-01 13:10:00","1.9709398750e+09","6.3196025000e+09"
"2020-02-01 13:15:00","1.8286878750e+09","5.6747030000e+09"
"2020-02-01 13:20:00","1.6962532500e+09","5.4153865000e+09"
"2020-02-01 13:25:00","1.5616241250e+09","5.0875440000e+09"
"2020-02-01 13:30:00","1.3740366250e+09","4.5972265000e+09"
"2020-02-01 13:35:00","1.3537627500e+09","4.2552440000e+09"
"2020-02-01 13:40:00","1.3322695000e+09","4.1626210000e+09"
"2020-02-01 13:45:00","1.3702052500e+09","4.3008400000e+09"
"2020-02-01 13:50:00","1.3055400000e+09","4.2931930000e+09"
"2020-02-01 13:55:00","1.3905656250e+09","4.3829795000e+09"
"2020-02-01 14:00:00","1.4954707500e+09","4.6210620000e+09"
"2020-02-01 14:05:00","1.5951027500e+09","4.7190515000e+09"
"2020-02-01 14:10:00","1.5042181250e+09","4.5099250000e+09"
"2020-02-01 14:15:00","1.4335091250e+09","4.2014580000e+09"
"2020-02-01 14:20:00","1.5191630000e+09","4.4410915000e+09"
"2020-02-01 14:25:00","1.7469666250e+09","5.1921205000e+09"
"2020-02-01 14:30:00","1.6139272500e+09","4.6729080000e+09"
"2020-02-01 14:35:00","1.5136195000e+09","4.5956165000e+09"
"2020-02-01 14:40:00","1.5075093750e+09","4.3801145000e+09"
"2020-02-01 14:45:00","1.4582652500e+09","4.3763410000e+09"
"2020-02-01 14:50:00","1.6307460000e+09","5.0572615000e+09"
"2020-02-01 14:55:00","1.6760076250e+09","5.0646285000e+09"
"2020-02-01 15:00:00","1.6474416250e+09","5.0310675000e+09"
"2020-02-01 15:05:00","1.6552985000e+09","5.1838140000e+09"
"2020-02-01 15:10:00","1.6360420000e+09","4.9110095000e+09"
"2020-02-01 15:15:00","1.5261710000e+09","4.5588435000e+09"
"2020-02-01 15:20:00","1.4498707500e+09","4.2696325000e+09"
"2020-02-01 15:25:00","1.5160882500e+09","4.8053540000e+09"
"2020-02-01 15:30:00","1.5659172500e+09","5.0837580000e+09"
"2020-02-01 15:35:00","1.3641191250e+09","4.3560285000e+09"
"2020-02-01 15:40:00","1.4386711250e+09","4.2258960000e+09"
"2020-02-01 15:45:00","1.4606475000e+09","4.4719440000e+09"
"2020-02-01 15:50:00","1.5888981250e+09","5.3106820000e+09"
"2020-02-01 15:55:00","1.4931101250e+09","5.1796640000e+09"
"2020-02-01 16:00:00","1.2542883750e+09","4.4124520000e+09"
"2020-02-01 16:05:00","1.5150361250e+09","4.6924455000e+09"
"2020-02-01 16:10:00","1.5860290000e+09","5.1239255000e+09"
"2020-02-01 16:15:00","1.6862642500e+09","5.6897835000e+09"
"2020-02-01 16:20:00","1.4401783750e+09","5.0897940000e+09"
